fold,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4
89,0,1,159,0,0,82,0,0,78,0,160,0,0,0,0,0,160,0,0,0,16,144,0,0,0
90,0,2,158,0,0,109,0,0,47,4,160,0,0,0,0,4,156,0,0,0,46,114,0,0,0
91,0,1,159,0,0,86,0,0,74,0,160,0,0,0,0,12,148,0,0,0,39,121,0,0,0
92,0,0,159,1,0,116,0,0,44,0,160,0,0,0,0,58,102,0,0,0,0,160,0,0,0
93,0,0,159,1,0,113,0,0,45,2,160,0,0,0,0,3,157,0,0,0,6,154,0,0,0
94,0,0,159,1,0,96,0,0,64,0,160,0,0,0,0,18,142,0,0,0,6,154,0,0,0
95,0,0,158,2,0,125,0,0,34,1,160,0,0,0,0,7,153,0,0,0,42,118,0,0,0
96,0,0,160,0,0,100,0,0,59,1,160,0,0,0,0,10,150,0,0,0,6,154,0,0,0
97,0,1,158,1,0,116,0,0,39,5,160,0,0,0,0,3,157,0,0,0,5,155,0,0,0
98,0,0,159,1,0,88,0,0,61,11,160,0,0,0,0,4,156,0,0,0,3,157,0,0,0
99,0,0,159,1,0,114,0,0,46,0,160,0,0,0,0,11,149,0,0,0,9,151,0,0,0
